id,input,noodle_type,soup,spicy
0046,เส้น เล็ก เนื้อ ไม่ โรย กระเทียม เจียว ,เส้นเล็ก,1,0
0047,หมี่ แห้ง จาน นึง,บะหมี่,0,0
0048,ก๋วยเตี๋ยว เรือ เส้น เล็ก ไม่ ผัก,เส้นเล็ก,1,0
0049,ก๋วยเตี๋ยวหมู เส้น ใหญ่ ชาม นึง ครับ ไม่ ต้อง ใส่ ผัก นะ ครับ,เส้นใหญ่,1,0
0050,เส้น เล็ก ยำ พิเศษ,เส้นเล็ก,1,0
0051,เส้น เล็ก น้ำ ไม่ ใส่ ถั่วงอก,เส้นเล็ก,1,0
0052,ขอ ก๋วยเตี๋ยว หมู เส้น ใหญ่ เพิ่ม เส้น,เส้นใหญ่,1,0
0053,เส้น เล็ก ต้มยำ ไม่ เผ็ด,เส้นเล็ก,1,0
0054,เอา หมี่ แห้ง ไม่ ผัก สอง ที่,บะหมี่,0,0
0055,ขอ เป็น บะหมี่ เส้น เล็ก พิเศษ ละ กัน ครับ,เส้นเล็ก,1,0
0056,เส้น ใหญ่ น้ำใส ธรรมดา,เส้นใหญ่,1,0
0057,บะหมี่ แห้ง ธรรมดา ที่ นึง ครับ,บะหมี่,0,0
0058,เล็ก แห้ง ไม่ ผัก ไม่ งอก ไม่ กระเทียม,เส้นเล็ก,0,0
0059,เส้น เล็ก เย็นตาโฟ ชาม นึง,เส้นเล็ก,1,0
0060,ขอ เส้น เล็ก ต้มยำ ครับ ขอ เผ็ด เผ็ด นะ ครับ,เส้นเล็ก,1,1
0061,เล็ก น้ำ สอง ครับ,เส้นเล็ก,1,0
0062,เส้น เล็ก หมู ต้ม ยำ,เส้นเล็ก,1,1
0063,เส้น เล็ก ต้มยำ,เส้นเล็ก,1,1
0064,เส้น เล็ก ต้มยำ ไก่,เส้นเล็ก,1,1
0065,เส้น เล็ก หมู น้ำใส,เส้นเล็ก,1,0
0066,บะหมี่ หมูแดง น้ำใส,บะหมี่,1,0
0067,บะหมี่ หมููแดง น้ำตก,บะหมี่,1,0
0068,บะหมี่ ต้มยำ สุโขทัย,บะหมี่,1,1
0069,เส้นหมี่ แห้งต้มยำ,บะหมี่,0,1
0070,บะหมี่ ไก่ฉีก,บะหมี่,1,0
0071,บะหมี่ ไก่ตุ่น,บะหมี่,1,0
0072,เส้น เล็ก หมู น้ำตก,เส้นเล็ก,1,0
0073,เส้น เล็ก หมูู แห้ง,เส้นเล็ก,0,0
0074,บะหมี่ หมูแดง ไม่ผัก,บะหมี่,1,0
0075,บะหมี่ หมูแดง ไม่ผัก ไม่งอก,บะหมี่,1,0
0076,เส้น เล็ก หมู ต้ม ยำ ไม่ผัก,เส้นเล็ก,1,1
0077,เส้น เล็ก ต้มยำ ไม่ผัก,เส้นเล็ก,1,1
0078,เส้น เล็ก ต้มยำ ไก่ ไม่ผัก,เส้นเล็ก,1,1
0079,เส้น เล็ก หมู น้ำใส ไม่ผัก,เส้นเล็ก,1,0
0080,บะหมี่ หมูแดง น้ำใส ไม่ผัก,บะหมี่,1,0
0081,บะหมี่ หมููแดง น้ำตก ไม่ผัก,บะหมี่,1,0
0082,บะหมี่ ต้มยำ สุโขทัย ไม่ผัก,บะหมี่,1,1
0083,เส้นหมี่ แห้งต้มยำ ไม่ผัก,บะหมี่,0,1
0084,บะหมี่ ไก่ฉีก ไม่ผัก,บะหมี่,1,0
0085,บะหมี่ ไก่ตุ่น ไม่ผัก,บะหมี่,1,0
0086,เส้น เล็ก หมู น้ำตก ไม่ผัก,เส้นเล็ก,1,0
0087,เส้น เล็ก หมู แห้ง ไม่ผัก,เส้นเล็ก,0,0
0088,บะหมี่ พิเศษ หมูแดง ไม่เอา ถั่วงอก,บะหมี่,1,0
0089,เส้น เล็ก เนื้อ น้ำตก,เส้นเล็ก,1,0
0090,บะหมี่เนื้อ เอา เส้น น้อยๆ,บะหมี่,1,0
0091,เส้น ใหญ่ หมูแดง แห้งน้ำตก,เส้นใหญ่,0,0
0092,อยาก ได้ ก๋วยเตี๋ยว เส้น ใหญ่ ต้ม ยำ ไม่ ใส่ ผัก,เส้นใหญ่,1,1
0093,ก๋วยเตี๋ยว เส้น ใหญ่ ต้ม ยำ เผ็ด น้อย น้อย,เส้นใหญ่,1,1
0094,เอา เป็น บะหมี่ หมูแดง ไม่ ใส่ ถั่ว งอก,บะหมี่,1,0
0095,สั่ง เย็นตาโฟ เส้น ใหญ่ ไม่ ใส่ เลือด,เส้นใหญ่,1,0
0096,เส้น เล็ก ต้มยำ เพิ่ม ลูกชิ้น,เส้นเล็ก,1,1
0097,บะหมี่ แห้ง ไม่ ใส่ เครื่อง ใน,บะหมี่,0,0
0098,บะหมี่ ต้มยำ เพิ่ม เครื่อง ใน,บะหมี่,1,1
0099,เส้น เล็ก น้ำ พิเศษ ใส่ ไข่,เส้นเล็ก,1,0
0100,บะหมี่ เกี๊ยว หมูแดง,บะหมี่,1,0
0101,สั่ง เส้น เล็ก ต้มยำ หนึ่่ง ชาม ครับ,เส้นเล็ก,1,1
0102,ผม เอา เส้น ใหญ่ เย็นตาโฟ ไม่ ใส่ เครื่อง ใน ครับ,เส้นใหญ่,1,0
0103,สั่ง เป็น บะหมี่ ต้มยำ ใส่ ทุก อย่าง,บะหมี่,1,1
0104,บะหมี่ หมู กรอบ หนึ่ง ชาม ครับ,บะหมี่,1,0
0105,เส้น ใหญ่ ต้มยำ ไม่ใส่ ถั่ว งอก,เส้นใหญ่,1,1
0106,บะหมี่ ลูกชิ้น ไม่ เผ็ด,บะหมี่,1,0
0107,บะหมี่ ลูกชิ้น ใส่ พริก เยอะ เยอะ,บะหมี่,1,1
0108,เส้น เล็ก หมูสับ ใส่ ถั่วงอก เยอะ เยอะ,เส้นเล็ก,1,0
0109,เล็ก แห้ง ต้มยำ,เส้นเล็ก,0,1
0110,เล็ก น้ำ ต้มยำ,เส้นเล็ก,1,1
0111,ก๋วยเตี๋ยว เด็ก เส้น เล็ก,เส้นเล็ก,1,0
0112,สั่ง บะหมี่ เกี๋ยว ทอด ครับ,บะหมี่,1,0
0113,เส้น หมี่ ต้มยำ หนึ่ง จาน ครับ พี่,บะหมี่,1,1
0114,วัน นี้ เอา เย็นตาโฟ เส้น ใหญ่ นะ ครับ,เส้นใหญ่,1,0
0115,ขอ เป็น บะหมี่ เกี๊ยว หมูแดง ใส่ ผัก เยอะ เยอะ,บะหมี่,1,0
0116,ขอ เส้น ใหญ่ เย็นตาโฟ ไม่ ใส่ ตับ,เส้นใหญ่,1,0
0117,บะหมี่ ใส่ หมูแดง พิเศษ,บะหมี่,1,0
0118,มาม่า แห้ง แบบ เผ็ด เผ็ด,มาม่า,0,1
0119,อยาก ได้ เย็นตาโฟ เส้น เล็ก อะ ครับ,เส้นเล็ก,1,0
0120,เส้น เล็ก ยำ ไม่ ใส่ ถั่ว งอก,เส้นเล็ก,1,0
0121,ขอ บะหมี่ ต้มยำ เผ็ด เผ็ด ครับ,บะหมี่,1,1
